res_type,count
aws_api_gateway_method,1
aws_cloudtrail,4
aws_iam_instance_profile,6
aws_ecr_lifecycle_policy,1
aws_elasticache_subnet_group,2
aws_lambda_event_source_mapping,1
aws_ecs_task_definition,2
aws_organizations_organization,1
aws_codedeploy_app,1
aws_cloudformation_stack_set_instance,1
aws_devicefarm_project,1
aws_iam_group_policy_attachment,1
aws_budgets_budget,4
aws_ecr_repository_policy,1
aws_iam_role_policy,10
aws_ses_receipt_rule_set,1
aws_api_gateway_rest_api,2
aws_elasticache_parameter_group,251
aws_launch_template,2
aws_ebs_volume,11
aws_security_group_rule,106
aws_iam_role,68
aws_db_proxy,1
aws_lb_listener_rule,1
aws_eip,2
aws_kms_alias,210
aws_elasticache_replication_group,1
aws_iam_user,22
aws_db_snapshot,1
aws_codepipeline,2
aws_cloudformation_stack,10
aws_dynamodb_table,4
aws_db_subnet_group,3
aws_iot_thing_type,1
aws_iam_user_policy,2
aws_security_group,39
aws_db_option_group,5
aws_api_gateway_model,2
aws_iot_role_alias,1
aws_lambda_function,4
aws_cloudfront_distribution,1
aws_s3_bucket,26
aws_ec2_transit_gateway_route_table,2
aws_api_gateway_resource,3
aws_route53_record,5
aws_autoscaling_group,3
aws_nat_gateway,1
aws_network_interface,44
aws_codepipeline_webhook,1
aws_instance,10
aws_iam_group,2
aws_vpc,22
aws_iam_group_policy,2
aws_lambda_layer_version,1
aws_elasticache_cluster,3
aws_ecs_cluster,1
aws_cloudwatch_event_target,4
aws_ecr_repository,1
aws_elb,2
aws_ses_template,1
aws_lb_target_group,1
aws_route53_zone,2
aws_db_parameter_group,4
aws_ecs_service,1
aws_ebs_snapshot,2
aws_ses_receipt_rule,1
aws_kms_key,13
aws_lambda_function_event_invoke_config,1
aws_iam_policy,1128
aws_kinesis_firehose_delivery_stream,2
aws_lb_listener,1
aws_cloud9_environment_ec2,2
aws_rds_cluster,1
aws_cloudwatch_metric_alarm,10
aws_network_acl,22
aws_volume_attachment,11
aws_cloudwatch_event_rule,4
aws_internet_gateway,20
aws_iot_thing,1
aws_elastic_beanstalk_environment,1
aws_subnet,64
aws_launch_configuration,2
aws_iam_user_group_membership,6
aws_cloudwatch_dashboard,1
aws_db_instance,3
aws_ses_configuration_set,2
aws_codebuild_project,2
aws_codecommit_repository,1
aws_accessanalyzer_analyzer,1
aws_lb,3
aws_cloudformation_stack_set,1
aws_sqs_queue,5
aws_api_gateway_stage,1
aws_main_route_table_association,22
aws_route_table,25
aws_ec2_transit_gateway,1
aws_eks_cluster,1
aws_msk_cluster,1
aws_ec2_transit_gateway_vpc_attachment,1
aws_route_table_association,4
aws_elastic_beanstalk_application,1
aws_api_gateway_gateway_response,42
aws_s3_bucket_policy,8
